ts,model,label,ok,error,ttft_ms,e2e_ms,prompt_tokens,output_tokens,tps,tpot_ms,prefill_ms,itl_mean_ms,itl_p95_ms,itl_count
1761166200.8092506,gpt-oss:20b,code_humaneval,True,,66123.31438064575,69456.3581943512,96,256,58.49696738959116,17.09490328515625,251.585117,17.472575067991187,18.043756484985348,247
1761166205.3993773,gpt-oss:20b,chat_multi_turn,True,,65152.472734451294,69204.922914505,94,256,58.49197802365266,17.09636148046875,209.682788,17.49694588695943,18.293690681457516,247
1761166208.6635268,gpt-oss:20b,math_gsm8k,True,,67623.25763702393,69203.60994338989,101,176,58.45702848032971,17.10658283522727,249.501045,17.829742776342187,18.338501453399658,166
1761166213.304665,gpt-oss:20b,long_instruction,True,,,69223.25325012207,112,256,58.453523537104594,17.107608566406252,258.365011,17.107394372992836,17.95811653137207,253
1761166217.8480756,gpt-oss:20b,short_instruction,True,,65076.03573799133,69128.84473800659,79,256,58.748800060635375,17.02162425390625,182.332491,17.436871161827675,17.752003669738766,247
1761166222.23276,gpt-oss:20b,short_instruction,True,,64835.28447151184,68893.16844940186,79,256,58.71530976993657,17.03133312109375,20.429355,17.456242912694027,17.77627468109131,247
1761166226.6185884,gpt-oss:20b,short_instruction,True,,64660.725116729736,68719.12932395935,79,256,58.697398709628395,17.0365301015625,20.466125,17.4623742277323,18.078041076660156,247
1761166229.8668747,gpt-oss:20b,math_gsm8k,True,,66030.19690513611,67591.63308143616,101,176,58.750993416708845,17.020988784090907,248.745126,17.73860224758286,19.17034387588501,166
1761166232.8987892,gpt-oss:20b,math_gsm8k,True,,65817.31581687927,67378.42535972595,101,176,58.51907687326614,17.088444545454546,20.223721,17.825705459318964,18.806517124176025,166
1761166237.547486,gpt-oss:20b,long_instruction,True,,,67389.40358161926,112,256,58.34557496997952,17.139260355468753,258.397067,17.116805781488832,18.448829650878913,253
1761166241.9409668,gpt-oss:20b,long_instruction,True,,,67213.95134925842,112,256,58.5745912885075,17.072248871093752,20.286062,17.077819160793137,17.977428436279297,253
1761166246.570968,gpt-oss:20b,code_humaneval,True,,63877.294063568115,67216.79282188416,96,256,58.515401318771204,17.0895179296875,251.330817,17.502820443527902,17.975783348083493,247
1761166251.1376464,gpt-oss:20b,short_instruction,True,,63118.77393722534,67191.56217575073,79,256,58.44806066822121,17.10920753515625,182.696989,17.524875609980903,18.67208480834961,247
1761166255.7632473,gpt-oss:20b,code_humaneval,True,,64087.92448043823,67419.02899742126,96,256,58.57574445646877,17.0719127734375,251.531292,17.485999867983676,18.3180570602417,247
1761166260.317664,gpt-oss:20b,short_instruction,True,,64665.05837440491,68727.81705856323,79,256,58.607036366097375,17.062797609375,182.30489,17.480539406842066,18.316268920898434,247
1761166264.911602,gpt-oss:20b,chat_multi_turn,True,,64678.2431602478,68734.08055305481,94,256,58.480999291918906,17.099571007812504,209.970279,17.51046431692023,18.06352138519287,247
1761166269.5584288,gpt-oss:20b,long_instruction,True,,,68748.97766113281,112,256,58.44878024914051,17.1089968984375,258.453288,17.128700324198004,17.793750762939453,253
1761166272.8017018,gpt-oss:20b,math_gsm8k,True,,65837.63837814331,67402.13370323181,101,176,58.84182426318151,16.99471443181818,248.622684,17.704828675970973,18.861711025238037,166
1761166277.440162,gpt-oss:20b,long_instruction,True,,,68776.43513679504,112,256,58.48760337551672,17.09764022265625,258.52718,17.095873007190086,18.016576766967773,253
1761166280.6910286,gpt-oss:20b,math_gsm8k,True,,65821.01464271545,67386.20400428772,101,176,58.74442144866623,17.022892988636364,251.110134,17.741470451814582,18.050968647003174,166
1761166285.299196,gpt-oss:20b,chat_multi_turn,True,,63389.3780708313,67450.91986656189,94,256,58.250795305048335,17.1671475859375,209.602662,17.56594731257512,18.594884872436523,247
1761166289.9362931,gpt-oss:20b,code_humaneval,True,,64357.71346092224,67703.32503318787,96,256,58.42263392868901,17.11665381640625,251.396359,17.52394413658482,18.168306350708004,247
1761166294.333804,gpt-oss:20b,code_humaneval,True,,64375.5362033844,67715.00730514526,96,256,58.53839808855465,17.08280432421875,20.21894,17.50231271813273,18.558931350708008,247
1761166298.935598,gpt-oss:20b,chat_multi_turn,True,,65009.97853279114,69068.48859786987,94,256,58.33356802720293,17.142788171875,209.569752,17.518529042541257,19.55342292785644,247
1761166303.571055,gpt-oss:20b,code_humaneval,True,,67337.43214607239,70672.06907272339,96,256,58.5146671229171,17.08973235546875,251.37878,17.528444166608185,18.043398857116696,247
1761166308.1509755,gpt-oss:20b,chat_multi_turn,True,,66561.91372871399,70603.28435897827,94,256,58.62907985793659,17.056382300781248,209.827457,17.46296786103654,18.018341064453125,247
1761166312.7726204,gpt-oss:20b,code_humaneval,True,,67501.22261047363,70831.43258094788,96,256,58.62843897017681,17.05656875,251.446662,17.47137428777903,18.023276329040524,247
1761166317.1671083,gpt-oss:20b,code_humaneval,True,,67266.93844795227,70595.94488143921,96,256,58.57967266626714,17.070767972656252,20.342873,17.485481524757045,18.049287796020508,247
